experience,point_cloud_name,number_of_nucleotides,num_voxels,num_occupied_voxels,nucleotide_rate,point_to_point_D1
a0.6_res_t64_Slice_cond_160-10_700,CITIUSP,2423800,57147392,980794,3.8190684271925663,100.23045761072193
a0.6_res_t64_Slice_cond_160-10_700,fruits,6032400,175636480,1406618,5.1691594926515805,103.19697861770084
a0.6_res_t64_Slice_cond_160-10_700,ipanemaCut,4301800,79953920,1955035,3.297897084119704,47.78887918537616
a0.6_res_t64_Slice_cond_160-10_700,longdress,2277600,46661632,851101,3.3742263067965186,57.39422045943823
a0.6_res_t64_Slice_cond_160-10_700,mitch,2904200,65273856,1004324,3.9161159055009067,55.409703743891114
a0.6_res_t64_Slice_cond_160-10_700,wooden,5632800,174587904,1093872,5.856376380489417,104.46127349040282
a0.6_res_t64_Slice_cond_160-10_400,CITIUSP,1938200,57147392,980794,3.3001373235459464,105.76087457620577
a0.6_res_t64_Slice_cond_160-10_400,fruits,5322400,175636480,1406618,4.644713001655624,138.67184179669394
a0.6_res_t64_Slice_cond_160-10_400,ipanemaCut,3361800,79953920,1955035,2.7738827187844635,69.77553070625981
a0.6_res_t64_Slice_cond_160-10_400,longdress,1896000,46661632,851101,2.897614569951825,69.60137318530857
a0.6_res_t64_Slice_cond_160-10_400,mitch,2473800,65273856,1004324,3.4602545651542953,73.58619985098562
a0.6_res_t64_Slice_cond_160-10_400,wooden,5033000,174587904,1093872,5.289125035480836,139.94190752507834
a0.6_res_t64_Slice_cond_160-10_40,CITIUSP,1252800,57147392,980794,2.640948350800563,157.43819299304496
a0.6_res_t64_Slice_cond_160-10_40,fruits,3912400,175636480,1406618,3.6552402914434485,188.6662134657335
a0.6_res_t64_Slice_cond_160-10_40,ipanemaCut,1793000,79953920,1955035,1.9544566312934704,184.58074630190305
a0.6_res_t64_Slice_cond_160-10_40,longdress,1063400,46661632,851101,1.8895341502200356,127.93842429038045
a0.6_res_t64_Slice_cond_160-10_40,mitch,1498200,65273856,1004324,2.4802958335303376,142.6375801010217
a0.6_res_t64_Slice_cond_160-10_40,wooden,3873000,174587904,1093872,4.249188734240864,169.28115081510302
a0.6_res_t64_Slice_cond_160-10_1000,CITIUSP,2853800,57147392,980794,4.314542440182589,117.95470845646275
a0.6_res_t64_Slice_cond_160-10_1000,fruits,6684000,175636480,1406618,5.665591066299735,112.7834284525323
a0.6_res_t64_Slice_cond_160-10_1000,ipanemaCut,5156000,79953920,1955035,3.796039883351045,56.00154833466419
a0.6_res_t64_Slice_cond_160-10_1000,longdress,2620800,46661632,851101,3.8148475233705836,57.87695326221056
a0.6_res_t64_Slice_cond_160-10_1000,mitch,3310600,65273856,1004324,4.3698068741286695,55.33787617941275
a0.6_res_t64_Slice_cond_160-10_1000,wooden,6183400,174587904,1093872,6.383239186096624,117.6799682731983
a0.6_res_t64_Slice_cond_160-10_200,CITIUSP,1576200,57147392,980794,2.995266045648909,64.23653791136634
a0.6_res_t64_Slice_cond_160-10_200,fruits,4854800,175636480,1406618,4.362238619478704,108.92734113428908
a0.6_res_t64_Slice_cond_160-10_200,ipanemaCut,2484800,79953920,1955035,2.3676368445915985,59.752668050554824
a0.6_res_t64_Slice_cond_160-10_200,longdress,1504000,46661632,851101,2.453710392816653,60.28621778569652
a0.6_res_t64_Slice_cond_160-10_200,mitch,2046000,65273856,1004324,3.087839649421522,61.24361413921241
a0.6_res_t64_Slice_cond_160-10_200,wooden,4690400,174587904,1093872,5.022641457595976,107.55937490416858
